STATE,COUNTY,GRASS PLANTINGS INTROD(CP1),GRASS PLANTINGS NATIVE (CP2),TREE PLANTINGS SOFTWOODS (CP3),TREE PLANTINGS LONGLEAF PINE (CP3A),TREE PLANTINGS HARDWOODS (CP3A),WILDLIFE HABITAT (CP4D),WILDLIFE CORRIDORS (CP4B),"FIELD
WINDBREAKS
(CP5)","DIVERSIONS
& EROSION
CONTROL
STRUC.
(CP6&CP7)","GRASS
WATERWAYS
(CP8)","SHALLOW
WATER FOR
WILDLIFE
(CP9)","EXISTING
GRASS
(CP10)","EXISTING
TREES
(CP11)","WILDLIFE
FOOD
PLOTS
(CP12)","CONTOUR
GRASS
STRIPS
(CP15)","SHELTER-
BELTS
(CP16)","LIVING
SNOW
FENCES
(CP17)","SALINITY
REDUCING
VEGETATION
(CP18)","FILTER-
STRIPS
(CP21)","RIPARIAN
BUFFERS
3/
(CP22)",WETLAND RESTORATION (CP23) ,WETLAND RESTORATION FLOODPLAIN (CP23) ,WETLAND RESTORATION NON-FLOODPLAIN (CP23A),"CROSS
WIND TRAP
STRIPS
(CP24)","RARE AND
DECLINING
HABITAT
(CP25)","FARMABLE WETLAND
PROGRAM 6 WETLAND (CP27)","FARMABLE WETLAND
PROGRAM BUFFER (CP28)","MARGINAL PASTURE
BUFFERS WILDLIFE (CP29)","MARGINAL PASTURE
BUFFERS WETLAND (CP30)","BOTTOMLAND
HARDWOOD
TREES
(CP31)","UPLAND
BIRD
HABITAT
BUFFERS
(CP33)","LONGLEAF
PINE
(CP36)","DUCK
NESTING
HABITAT
(CP37)","STATE
ACRES FOR
WILDLIFE
ENHANCEMENT
(CP38)",FARMABLE WETLAND PROGRAM CONSTRUCTED WETLANDS (CP39),FARMABLE WETLAND PROGRAM AQUACULTURE WETLANDS (CP40),FARMABLE WETLAND PROGRAM FLOODED PRAIRIE WETLANDS (CP41) ,"POLLINATOR
HABITAT 8/
(CP42)","PRAIRIE STRIPS
(CP43)","CRP
GRASSLANDS - 
INTRODUCED
GRASSES
(CP87)","CRP
GRASSLANDS - 
NATIVE
GRASSES
(CP88)","SOIL HEALTH PERRENIAL CONSERV. COVER
(CP90)",TOTAL
ALABAMA,AUTAUGA,,,155,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,,,425
ALABAMA,BALDWIN,6,,"1,207",0,158,,,,,,,,,22,,,,,,42,,,,,,,,,,,,56,,,,,,,,,,,"1,491"
ALABAMA,BARBOUR,90,,"3,149",38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,"3,916"
ALABAMA,BIBB,,,29,0,0,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,79
ALABAMA,BLOUNT,11,,209,0,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,72,,,,,,,,,,,294
ALABAMA,BULLOCK,227,322,"1,149",0,0,,,,,,,,,21,,,,,,26,,,,,,,,,,,,,,,,,,,,,"1,100",,"2,845"
ALABAMA,BUTLER,,,251,170,0,,,,,,,,,2,,,,,,187,,,,,,,,,,,,141,,,,,,,,266,,,"1,017"
ALABAMA,CHAMBERS,,,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,154
ALABAMA,CHEROKEE,4,,94,0,0,1,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,135,,260
ALABAMA,CHILTON,,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
ALABAMA,CHOCTAW,,,,,,,,,,,,,,,,,,,,78,,,,,,,0,,,,,17,,,,14,,,,,,,109
ALABAMA,CLARKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,92
ALABAMA,CLAY,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
ALABAMA,COFFEE,151,,"1,766",13,0,,,,,,,,,12,,,,,,,,,,,,,,,,,,537,,,,,,,,,156,,"2,633"
ALABAMA,COLBERT,43,,91,0,5,,,,,,,,,,,,,,,136,,,,,,,,,,,40,,,,,,,,,,,,315
ALABAMA,CONECUH,,,"1,488",163,0,,,,,,,,,15,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,"2,008"
ALABAMA,COVINGTON,92,,"4,047",423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,815,,,,,,,,105,24,,"5,506"
ALABAMA,CRENSHAW,,,"2,371",18,0,,,,,,,,,16,,,,,,18,,,,,,,,,,,,72,,,,,,,,,,,"2,495"
ALABAMA,CULLMAN,,,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
ALABAMA,DALE,,,536,373,0,,,,,,,,,,,,,,,15,,,,,,,,,,,,762,,,,,,,,,,,"1,686"
ALABAMA,DALLAS,599,881,"2,366",9,0,1,,,,,43,,,2,,,,,21,629,,,,,62,,,,,461,157,313,,"1,535",,,,,,,429,,"7,509"
ALABAMA,DE KALB,32,,57,0,8,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,176
ALABAMA,ELMORE,37,,34,0,0,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,678,,856
ALABAMA,ESCAMBIA,,,622,203,0,,,,,,,,,2,,,,,,9,,,,,,,,,,,,363,,,,,,,,,151,,"1,349"
ALABAMA,ETOWAH,,,21,188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,270
ALABAMA,FAYETTE,,,290,0,0,,,,,,,,,6,,,,,,218,,,,,,,,,,,,,,,,,,,,180,66,,760
ALABAMA,FRANKLIN,83,,248,0,16,,,,,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,898
ALABAMA,GENEVA,153,,"2,014","1,305",0,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,,,,76,,"3,940"
ALABAMA,GREENE,124,,352,0,0,270,,,,,,,,4,,,,,,471,,,,,,,,,,,,,,36,,,,,,,,,"1,258"
ALABAMA,HALE,81,,30,0,23,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,9,,,,,,,,,649
ALABAMA,HENRY,4,,486,235,0,,,,,,,,,6,,,,,,,,,,,,,,,,,,885,,,,,,,,,,,"1,616"
ALABAMA,HOUSTON,,,"1,297",97,51,,,,,,,,,,,,,,,124,,,,,,,,,,,,"1,320",,,,,,1,,,,,"2,889"
ALABAMA,JACKSON,,17,53,0,22,45,,,,,11,,,5,,,,,37,380,,,,,,,,,,159,38,,,,,,,3,,,,,769
ALABAMA,LAMAR,66,,383,0,0,,,,,,,,,5,,,,,,88,,,,,,,,,,,,,,,,,,,,,64,,606
ALABAMA,LAUDERDALE,225,9,91,0,159,22,,,,,,,,8,,,,,,777,,,,,,,,,,,3,,,,,,,,,,,,"1,293"
ALABAMA,LAWRENCE,180,65,"1,187",0,0,7,,,,,,,,5,,,,,86,"3,473",,,,,,,,,,,41,,,,,,,,,,,,"5,044"
ALABAMA,LEE,,,56,0,0,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,123
ALABAMA,LIMESTONE,115,,232,0,39,22,,,,,,,,16,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,632
ALABAMA,LOWNDES,670,877,81,25,0,,,,,,,,,,,,,,11,"1,658",,,,,,,,,,,,67,,,,,,,,,"3,365",,"6,754"
ALABAMA,MACON,465,,417,113,0,,,,,,,,,6,,,,,18,43,,,,,,,,,,,,,,,,,,,,248,304,,"1,613"
ALABAMA,MADISON,130,,0,0,80,4,,,,,7,,,13,,,,,6,131,,,,,,,,,,78,,,,,,,,,,,,,448
ALABAMA,MARENGO,467,388,172,0,0,714,,,,,6,,,5,,,,,27,"1,185",,,,,,,,,,35,,229,,181,,,,65,,,572,,"4,044"
ALABAMA,MARION,,,91,0,0,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,,,7,,,340
ALABAMA,MARSHALL,27,,33,0,24,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,342,353,,882
ALABAMA,MOBILE,,,103,0,0,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,146
ALABAMA,MONROE,,,"1,429",107,0,,,,,,,,,9,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,"1,565"
ALABAMA,MONTGOMERY,988,,386,0,0,,,,,,,,,11,,,,,,623,,,,,,,,,,78,,,,,,,,,,,"2,451",,"4,538"
ALABAMA,MORGAN,,,92,0,0,10,,,,,,,,,,,,,,"1,611",,,,,,,,,,,,,,,,,,,,,,,"1,713"
ALABAMA,PERRY,70,,887,19,0,,,,,,29,,,,,,,,24,449,,,,,99,,,,,,84,27,,317,,,,,,,,,"2,003"
ALABAMA,PICKENS,26,,629,0,71,82,,,,8,,,,17,,,,,23,850,,,,,,,,,,,,,,,,,,,,,,,"1,706"
ALABAMA,PIKE,9,,"1,115",110,198,,,,,,,,,15,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,"1,611"
ALABAMA,RANDOLPH,,,21,0,0,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,45
ALABAMA,RUSSELL,13,,413,102,0,749,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,66,,,"1,528"
ALABAMA,ST. CLAIR,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,457,"1,191",,"1,841"
ALABAMA,SHELBY,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
ALABAMA,SUMTER,9,103,966,88,0,"1,432",,,,,,,,,,,,,,"1,659",,,,,,,,187,,,,,,170,,,,,,,,,"4,614"
