STATE,COUNTY,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031+
ALABAMA,AUTAUGA,251,32,"1,005",445,52,0,21,0,17,0,0,46
ALABAMA,BALDWIN,633,600,"1,010",308,115,211,0,0,10,0,25,42
ALABAMA,BARBOUR,"2,605","1,514","2,781","2,746",45,123,610,49,16,159,191,0
ALABAMA,BIBB,258,0,168,0,0,29,15,0,0,0,0,0
ALABAMA,BLOUNT,137,102,120,3,0,93,0,72,0,0,0,18
ALABAMA,BULLOCK,"3,114","1,010","2,192",0,0,26,9,0,0,0,0,0
ALABAMA,BUTLER,608,187,540,236,51,90,45,0,0,0,0,356
ALABAMA,CHAMBERS,346,857,63,0,0,0,0,0,0,0,0,120
ALABAMA,CHEROKEE,118,"1,171",103,20,8,0,0,18,0,0,0,0
ALABAMA,CHILTON,94,308,136,0,0,0,0,0,0,0,0,0
ALABAMA,CHOCTAW,0,0,58,0,14,21,0,0,0,0,75,0
ALABAMA,CLARKE,27,0,24,0,0,0,0,0,0,0,0,0
ALABAMA,CLAY,14,0,0,0,0,6,0,0,0,0,0,0
ALABAMA,CLEBURNE,0,0,170,0,0,0,0,0,0,0,0,0
ALABAMA,COFFEE,"2,343","2,326","2,090","1,394",314,0,168,0,0,255,0,0
ALABAMA,COLBERT,171,325,29,25,14,12,108,0,32,0,25,48
ALABAMA,CONECUH,"1,662",794,356,273,72,165,61,0,0,0,0,40
ALABAMA,COOSA,27,0,0,0,0,0,0,0,0,0,0,0
ALABAMA,COVINGTON,"2,852","2,961","3,532",980,178,381,131,89,371,0,0,168
ALABAMA,CRENSHAW,860,"2,328","2,326",864,0,0,99,48,34,0,3,0
ALABAMA,CULLMAN,112,100,146,169,0,0,0,0,0,0,0,0
ALABAMA,DALE,461,412,906,343,103,300,264,102,187,34,3,214
ALABAMA,DALLAS,"4,364",780,"2,259",794,"1,612",167,0,0,0,404,21,422
ALABAMA,DEKALB,219,251,143,255,0,0,0,0,0,0,75,13
ALABAMA,ELMORE,80,155,221,0,0,0,0,0,0,0,65,22
ALABAMA,ESCAMBIA,709,672,563,627,118,96,0,160,0,0,0,0
ALABAMA,ETOWAH,226,86,171,27,0,62,0,0,0,0,0,0
ALABAMA,FAYETTE,166,343,272,122,0,2,0,0,0,0,0,373
ALABAMA,FRANKLIN,775,115,218,180,4,18,84,0,0,0,160,322
ALABAMA,GENEVA,"2,642","4,477","4,116","1,493",0,81,93,312,891,174,0,0
ALABAMA,GREENE,"1,238",626,981,223,0,0,47,23,56,0,120,117
ALABAMA,HALE,454,528,149,39,0,0,0,23,0,228,0,155
ALABAMA,HENRY,"1,082",478,"2,084",664,78,349,246,39,184,168,0,0
ALABAMA,HOUSTON,"1,049","1,229","1,659","1,390",128,368,387,109,228,207,12,98
ALABAMA,JACKSON,733,296,159,312,17,84,95,16,132,12,17,301
ALABAMA,LAMAR,559,204,300,0,0,0,15,0,0,0,0,32
ALABAMA,LAUDERDALE,367,738,126,651,1,153,106,118,109,157,158,189
ALABAMA,LAWRENCE,"1,296","1,116","1,645",639,123,377,666,166,218,133,458,"1,557"
ALABAMA,LEE,61,86,0,0,0,0,67,0,0,0,0,0
ALABAMA,LIMESTONE,386,191,186,127,0,31,79,0,0,0,149,0
ALABAMA,LOWNDES,691,"2,353","1,217",227,55,93,0,168,0,0,264,"1,043"
ALABAMA,MACON,"1,649",677,734,20,0,0,0,0,0,0,13,296
ALABAMA,MADISON,59,243,60,179,0,0,21,96,2,0,0,6
ALABAMA,MARENGO,"2,656",909,"2,364",356,22,0,0,0,6,104,430,"1,204"
ALABAMA,MARION,666,339,119,45,0,0,34,0,0,0,25,188
ALABAMA,MARSHALL,310,17,125,18,0,0,103,0,24,0,0,352
ALABAMA,MOBILE,91,0,134,0,0,0,73,0,18,0,25,0
ALABAMA,MONROE,517,774,441,381,0,0,0,108,0,0,0,0
ALABAMA,MONTGOMERY,725,"1,228",588,359,18,0,0,810,99,0,82,435
ALABAMA,MORGAN,737,633,741,48,32,306,172,0,0,0,125,802
ALABAMA,PERRY,"1,558","1,425","1,269",86,353,0,84,0,0,0,86,160
ALABAMA,PICKENS,418,"1,016",140,531,156,0,336,79,0,19,0,395
ALABAMA,PIKE,646,"1,135","1,567","1,637",63,198,154,43,19,0,0,0
ALABAMA,RANDOLPH,0,0,45,0,0,21,0,0,0,0,0,11
ALABAMA,RUSSELL,"1,695","1,568",295,163,161,0,0,0,0,0,12,66
ALABAMA,ST CLAIR,0,0,64,110,0,0,0,0,0,0,193,457
ALABAMA,SHELBY,0,0,0,0,0,5,0,0,0,0,0,0
ALABAMA,SUMTER,"1,971","1,715","2,627",382,16,211,128,68,81,0,202,"1,230"
